sessionId;userId;itemId;timeframe;eventdate
55737;19341.0;58739;8203;2016-04-20
55737;19341.0;51096;86483;2016-04-20
55737;19341.0;10607;19630;2016-04-20
55737;19341.0;10607;145934;2016-04-20
56557;19341.0;34157;9979;2016-04-28
69166;19341.0;34157;5819;2016-04-24
69166;19341.0;34157;11700;2016-04-24
69474;19341.0;2022;85469;2016-04-12
69474;19341.0;3439;98060;2016-04-12
69474;19341.0;3439;54859;2016-04-12
69474;19341.0;3439;93897;2016-04-12
87228;19341.0;7771;65768;2016-04-15
87228;19341.0;259757;1198795;2016-04-15
87228;19341.0;3439;41706;2016-04-15
87228;19341.0;3439;46510;2016-04-15
87228;19341.0;34157;16664;2016-04-15
87228;19341.0;34157;8547;2016-04-15
87228;19341.0;133052;80282;2016-04-15
87228;19341.0;133052;76656;2016-04-15
87761;19341.0;2148;331847;2016-05-25
87761;19341.0;2148;328235;2016-05-25
87761;19341.0;6095;363963;2016-05-25
87761;19341.0;6095;306207;2016-05-25
87761;19341.0;6095;970494;2016-05-25
87761;19341.0;25211;263819;2016-05-25
96895;19341.0;49079;186740;2016-05-11
96895;19341.0;70891;45202;2016-05-11
96895;19341.0;70891;23875;2016-05-11
96895;19341.0;3998;205360;2016-05-11
101570;19341.0;43728;226127;2016-04-13
101570;19341.0;43728;217384;2016-04-13
101570;19341.0;43876;205304;2016-04-13
101570;19341.0;43876;196751;2016-04-13
101570;19341.0;7771;21682;2016-04-13
101570;19341.0;7771;29914;2016-04-13
101570;19341.0;7771;14728;2016-04-13
101570;19341.0;52667;133068;2016-04-13
101570;19341.0;52667;123449;2016-04-13
101570;19341.0;3439;70792;2016-04-13
101570;19341.0;3439;78887;2016-04-13
101570;19341.0;34157;259332;2016-04-13
101570;19341.0;133052;44407;2016-04-13
101570;19341.0;133052;53944;2016-04-13
105272;19341.0;34157;13382;2016-04-25
105272;19341.0;34157;5243;2016-04-25
105272;19341.0;197344;693687;2016-04-25
105272;19341.0;197344;696755;2016-04-25
105272;19341.0;376928;721593;2016-04-25
105272;19341.0;19556;497152;2016-04-25
105272;19341.0;19556;352981;2016-04-25
105272;19341.0;19556;716459;2016-04-25
105272;19341.0;19556;128463;2016-04-25
105272;19341.0;19556;344005;2016-04-25
174795;19341.0;34157;23486;2016-04-14
174795;19341.0;34157;9631;2016-04-14
174795;19341.0;197344;124833;2016-04-14
174795;19341.0;13520;39373;2016-04-14
174795;19341.0;13520;61928;2016-04-14
174795;19341.0;13520;45657;2016-04-14
174795;19341.0;13520;85556;2016-04-14
193581;19341.0;34157;146465;2016-04-24
193581;19341.0;34157;8549;2016-04-24
193581;19341.0;34157;18300;2016-04-24
218836;19341.0;7771;57746;2016-04-10
218836;19341.0;7771;8411;2016-04-10
218836;19341.0;7771;4598;2016-04-10
218836;19341.0;359;519172;2016-04-10
218836;19341.0;359;510198;2016-04-10
218836;19341.0;75267;350048;2016-04-10
218836;19341.0;75267;371826;2016-04-10
218836;19341.0;133052;71248;2016-04-10
218836;19341.0;133052;80653;2016-04-10
220625;19341.0;2148;56183;2016-05-20
220625;19341.0;2148;59844;2016-05-20
220625;19341.0;30674;117027;2016-05-20
220625;19341.0;30674;18560;2016-05-20
220625;19341.0;34398;28861;2016-05-20
242016;19341.0;22218;10747;2016-04-18
243107;19341.0;2148;35602;2016-05-13
243107;19341.0;770;17648;2016-05-13
246029;19341.0;33567;153998;2016-04-10
246029;19341.0;7771;157104;2016-04-10
246029;19341.0;7771;3858;2016-04-10
246029;19341.0;133052;336955;2016-04-10
246029;19341.0;133052;67217;2016-04-10
246029;19341.0;133052;71233;2016-04-10
246029;19341.0;133052;117745;2016-04-10
251187;19341.0;3299;19083;2016-05-12
258448;19341.0;43728;379074;2016-04-12
258448;19341.0;43728;370598;2016-04-12
258448;19341.0;7771;66737;2016-04-12
258448;19341.0;7771;70366;2016-04-12
258448;19341.0;22218;141343;2016-04-12
258448;19341.0;404518;406042;2016-04-12
258448;19341.0;3439;24161;2016-04-12
258448;19341.0;34157;208312;2016-04-12
258448;19341.0;34157;240022;2016-04-12
258448;19341.0;34157;200145;2016-04-12
258448;19341.0;133052;83909;2016-04-12
258448;19341.0;198702;158859;2016-04-12
308819;19341.0;14895;118710;2016-04-24
308819;19341.0;14895;5484;2016-04-24
308819;19341.0;14895;97528;2016-04-24
321308;19341.0;13974;1060753;2016-04-11
321308;19341.0;99142;75648;2016-04-11
321308;19341.0;33684;32668;2016-04-11
321308;19341.0;87893;669146;2016-04-11
321308;19341.0;45821;47144;2016-04-11
321308;19341.0;5465;12921;2016-04-11
339288;19341.0;3439;191342;2016-04-19
339288;19341.0;3439;195498;2016-04-19
339288;19341.0;34157;165494;2016-04-19
339288;19341.0;34157;229145;2016-04-19
339288;19341.0;34157;235802;2016-04-19
339288;19341.0;34157;7578;2016-04-19
339288;19341.0;197344;178743;2016-04-19
339288;19341.0;13520;33664;2016-04-19
362580;19341.0;41315;79028;2016-04-12
362580;19341.0;26294;25999;2016-04-12
362580;19341.0;22218;10427;2016-04-12
362580;19341.0;22218;196254;2016-04-12
362580;19341.0;426713;67275;2016-04-12
362580;19341.0;198702;56392;2016-04-12
362580;19341.0;197344;86305;2016-04-12
434621;19341.0;34157;7317;2016-04-16
434621;19341.0;34157;12422;2016-04-16
463851;19341.0;114857;24473;2016-04-14
463851;19341.0;84128;62191;2016-04-14
463851;19341.0;373663;217323;2016-04-14
463851;19341.0;373663;224457;2016-04-14
463851;19341.0;41094;204739;2016-04-14
463851;19341.0;41094;209221;2016-04-14
463851;19341.0;13520;170930;2016-04-14
463851;19341.0;13520;163760;2016-04-14
463851;19341.0;79738;42971;2016-04-14
463851;19341.0;14745;11073;2016-04-14
463966;19341.0;58739;568932;2016-04-19
463966;19341.0;40965;633257;2016-04-19
463966;19341.0;34157;1036838;2016-04-19
463966;19341.0;34157;1026220;2016-04-19
463966;19341.0;34157;9673;2016-04-19
492377;19341.0;9156;85889;2016-05-31
492377;19341.0;35889;306550;2016-05-31
492377;19341.0;35889;261525;2016-05-31
492377;19341.0;36053;34260;2016-05-31
543221;19341.0;34157;14066;2016-04-15
543221;19341.0;34157;8565;2016-04-15
543221;19341.0;13520;57908;2016-04-15
543221;19341.0;13520;51415;2016-04-15
556129;19341.0;34157;6021;2016-04-24
556129;19341.0;34157;211662;2016-04-24
564689;19341.0;34157;9748;2016-04-25
564689;19341.0;34157;5764;2016-04-25
564689;19341.0;19556;25885;2016-04-25
573464;19341.0;34157;4838;2016-04-27
